epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,782.702,1.8587,1.76766,2.3623,0.58268,0.5,0.48058,0.19784,1.97957,2.0968,2.84836,0.00168716,0.00168716,0.00168716
81,792.303,1.68215,1.54846,2.20977,0.58268,0.5,0.48058,0.19784,1.97957,2.0968,2.84836,0.0016832,0.0016832,0.0016832
82,801.658,1.5913,1.66278,2.24166,0.94527,0.6,0.76235,0.3248,1.91176,1.813,2.76881,0.00167924,0.00167924,0.00167924
83,811.331,1.80962,1.6169,2.21352,0.94527,0.6,0.76235,0.3248,1.91176,1.813,2.76881,0.00167528,0.00167528,0.00167528
84,821.016,1.71497,1.63123,2.14905,0.69012,0.8,0.82171,0.42094,1.77973,1.66871,2.65212,0.00167132,0.00167132,0.00167132
85,830.291,1.63722,1.52203,2.1984,0.69012,0.8,0.82171,0.42094,1.77973,1.66871,2.65212,0.00166736,0.00166736,0.00166736
86,839.681,1.84376,1.75844,2.48822,0.83562,0.76301,0.90488,0.49332,1.75782,1.54138,2.66034,0.0016634,0.0016634,0.0016634
87,849.139,1.99063,1.95672,2.37474,0.83562,0.76301,0.90488,0.49332,1.75782,1.54138,2.66034,0.00165944,0.00165944,0.00165944
88,858.362,1.51998,1.56212,2.2183,0.891,0.85,0.90211,0.52906,1.5862,1.49679,2.5622,0.00165548,0.00165548,0.00165548
89,869.031,1.62538,1.41519,2.20488,0.891,0.85,0.90211,0.52906,1.5862,1.49679,2.5622,0.00165152,0.00165152,0.00165152
90,878.64,1.42573,1.61704,2.2203,0.70087,0.82059,0.81068,0.42287,1.71685,1.61203,2.6259,0.00164756,0.00164756,0.00164756
91,888.538,1.6748,1.94969,2.58005,0.70087,0.82059,0.81068,0.42287,1.71685,1.61203,2.6259,0.0016436,0.0016436,0.0016436
92,897.865,1.88414,1.81443,2.56831,0.96865,0.85,0.90949,0.36628,1.84567,1.70384,2.71871,0.00163964,0.00163964,0.00163964
93,907.172,1.72558,1.44353,2.33274,0.96865,0.85,0.90949,0.36628,1.84567,1.70384,2.71871,0.00163568,0.00163568,0.00163568
